audio,vowel,f1_median,f2_median,f3_median
061ea7d0-Audio_SP16,a,695.3452846310845,1555.298443972616,2413.245186411017
0af9ac47-Audio_SP14,a,701.0597997834732,1539.8764967645131,2446.806645527689
0e6115f2-Audio_SP19,a,596.9263783901112,1554.3510167822085,2698.449041933972
0f786745-Audio_SP20,a,608.8561310113683,775.9764613627284,1459.8053445531432
12c532f8-Audio_SP15,a,622.3425917699177,1522.9714571901743,2307.1108022884587
181d5ce9-Audio_SP21,a,610.0511714300974,1479.1817640776362,2633.074600081616
1c403477-Audio_SP13,a,624.5390580996439,1511.04873815674,2328.319557872406
1d46eb6e-Audio_SP18,a,703.790948089287,1569.0515675990007,2605.8593807669963
2988c6fc-Audio_SP13,a,690.5252133772518,1488.1762709674306,2806.7571649787515
2e25304d-Audio_SP12,a,776.7194812281965,1633.8902014854257,2848.931971234237
30a90cb2-Audio_SP21,a,567.0282762535832,1440.1939169255425,2565.938410481533
3361ee02-Audio_SP10,a,583.8434900092685,1389.2331405660502,2323.7590544256527
34ad326e-Audio_SP7,a,691.2749788041349,1355.3207697026517,2837.520648564888
375a28cd-Audio_SP16,a,537.4263107586132,1231.699427168906,2359.5382651415857
42d56bbf-Audio_SP23,a,575.3709335561932,1441.6197917941886,2351.8623740245603
49ae7020-Audio_SP17,a,659.8446743090141,1539.480883859387,2593.56661713116
501e6487-Audio_SP19,a,544.0426584768383,1457.192331173307,2092.0609722612357
514fc6b6-Audio_SP19,a,787.0688197287611,1683.433271340106,3107.244860688418
51a17262-Audio_SP18,a,718.7786961345718,1777.5164300981637,2833.4088980936604
5278b5b9-Audio_SP15,a,496.2971158939776,1508.2060263176395,2403.6924481808346
5586979c-Audio_SP18,a,633.5785353020991,1552.8577772068884,2435.2809414103112
5819ce7a-Audio_SP11,a,771.6711803254477,1687.1173834653844,2441.242582646656
5a932187-audio_SP16,a,734.4541565925302,1660.239864222974,2598.405383605961
63239054-Audio_SP15,a,622.6394355733177,1386.1024937143347,2550.0726741266235
713a2f9b-Audio_SP16,a,560.8757074124037,1443.6567551124635,2491.5314795149543
7a414497-Audio_SP15,a,685.6385394874496,1486.3521655311802,2552.7243310322306
7aee4437-Audio_SP12,a,769.5168801046079,1545.0443307531536,2485.5435932749588
7c3c98d2-Audio_SP13,a,844.92294211866,1650.1699266796115,3048.660509057856
7dec1dd7-Audio_SP13,a,658.4498834763972,1515.4812393365437,2636.5934669572107
7e277fda-Audio_SP28,a,641.92737991814,992.208782114192,1845.2649516498016
85c7895f-Audio_SP16,a,677.4185442188599,1478.9971261325522,2706.03071565929
919b9bc1-Audio_SP14,a,623.374477553683,1560.3784097753403,2564.3253675228925
9a0c18cb-Audio_SP14,a,632.9849018971888,1379.064290085321,2374.0553696035768
a1a056ce-Audio_SP11,a,635.5771682307528,1731.3955387472738,2898.6339983023045
a452055c-Audio_SP11,a,617.7155009899809,1378.643673812656,2536.241300050204
adad0062-Audio_SP17,a,609.5767928202173,1428.624782600808,2292.4398324801123
c3533b36-Audio_SP16,a,670.2105464888284,1411.4937552547565,2193.9087216448324
cafd9c21-Audio_SP27,a,642.3955865014308,1405.5773531437248,2455.985697812398
d4c363bf-Audio_SP13,a,651.215682359504,1663.2547449494248,2610.50019277937
dbeec025-Audio_SP13,a,647.9755167203483,1378.875299896733,2626.741507614427
e90f8e4d-Audio_SP22,a,646.9277101755727,1469.226023658125,2522.199688135487
f061152e-Audio_SP12,a,817.670470392077,1708.0188908035211,2860.467296818596
fcd45f4d-Audio_SP21,a,568.489910131493,1341.6729895552846,2154.2278361503786
