half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,278.0694816856261,172.8628696308946,1.6086131294671544,True
H1,i,u,i-u,1177.3566840151486,209.73000547199095,5.613677839589731,True
H1,e,a,e-a,427.6336879606091,175.29528981984816,2.439504725997432,True
H1,a,o,a-o,424.25279762718003,193.93610080718113,2.18759063352,True
H1,o,u,o-u,180.1603622448254,207.60681869178586,0.8677959778974909,True
H2,i,e,i-e,249.68037222974,215.21487603684804,1.1601445812091118,True
H2,i,u,i-u,1161.7305792086208,218.80096614015224,5.309531304649167,True
H2,e,a,e-a,459.5384063413841,184.5149489714669,2.490521277018299,True
H2,a,o,a-o,439.58938572739413,182.8320631645143,2.4043342186203236,True
H2,o,u,o-u,114.10404661425704,173.62012723797298,0.6572051779334315,True
