half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,270.36071203928526,228.54963776980836,1.182940890554324,True
H1,i,u,i-u,1317.6694804536414,235.75312261647335,5.589192057478049,True
H1,e,a,e-a,999.2636016644011,207.78323527252977,4.809163743907254,True
H1,a,o,a-o,127.98256498314986,184.0318130629189,0.695437179328303,True
H1,o,u,o-u,114.53204738308348,156.7270315424466,0.7307740487132534,True
H2,i,e,i-e,272.2499737768504,219.2006489798996,1.2420126265311167,True
H2,i,u,i-u,1311.1250335966415,219.4693024014024,5.974070265182852,True
H2,e,a,e-a,972.4457226448484,197.02398095796116,4.93567188073587,True
H2,a,o,a-o,120.15270517370956,171.5213277405402,0.7005117483434142,True
H2,o,u,o-u,135.10502020797165,147.24806502441385,0.9175334167248387,True
